,Глубина_манометра_м_2,Dшт_мм_3,Рзаб_бара_5,Pлин_бара_6,Руст_бар_7,Рлин_бар_9,Туст__С_10,Тна_шлейфе__С_11,Тзаб__С_12,Tлин__С_13,Дебит_гааз_м3/сут_18,Дебит_кон_нестабильный_м3/сут_19,Дебит_воды_м3/сут_20,Нэф_м_21,Рпл_Тек_(послед_точка_на_КВД)_МПа_22,Рпл_Тек_(Расчет_по_КВД)_МПа_23,Рпл_Тек_(Карноухов)_МПа_24,Pсб__атм_25,Ro_c_кг/м3_28,Удельная_плотность_газа__б/р_30,G_total_кг/с_31,КГФ_г/м3_32
153,3277.8,12.7,354.5,104.1,254.32575,103.8,50.3,,106.4,50.5,3730.0,196.5,0.6,44.5,40.35,53.9,52.7,102.7,787.0,0.672,,191.0
154,3277.8,14.3,345.9,105.8,239.127,104.0,53.5,,106.7,54.0,4726.0,232.4,1.7,44.5,40.35,53.9,52.7,103.1,787.0,0.672,,192.0
155,3276.0,7.5,370.0389,95.0,268.0,95.4,56.0,28.6,104.98,30.4,1967.0,114.7,1.1,44.5,39.44,48.3,45.6,94.3,785.0,0.667,,222.0
156,3276.0,9.53,364.6788075,94.9,262.0,94.9,62.0,36.3,105.18,37.5,2970.0,154.5,1.4,44.5,39.44,48.3,45.6,93.5,785.0,0.667,,212.0
157,3276.0,11.11,357.1199625,97.0,252.0,96.9,66.0,42.8,105.24,43.7,3869.0,196.7,1.4,44.5,39.44,48.3,45.6,95.3,785.0,0.667,,204.0
158,3276.0,12.7,347.44342499999993,95.7,238.0,95.8,70.0,47.5,105.23,47.9,5012.0,235.7,2.0,44.5,39.44,48.3,45.6,94.2,785.0,0.667,,198.0
159,3276.0,14.3,337.87834499999997,99.8,220.0,99.3,70.0,51.8,105.16,52.1,5733.0,264.3,2.4,44.5,39.44,48.3,45.6,98.5,785.0,0.667,,186.0
160,3284.0,7.94,335.20000000000005,88.7,241.0,89.0,51.0,27.0,104.68,27.2,1773.0,93.1,1.1,44.5,35.28,40.5,41.6,89.7,782.0,0.66,,201.0
161,3284.0,9.53,328.1,91.2,240.0,91.4,59.1,34.9,104.84,35.7,2750.0,119.2,2.0,44.5,35.28,40.5,41.6,88.9,782.0,0.66,,182.0
162,3284.0,11.11,318.0,98.0,228.0,98.9,63.3,41.4,104.85,42.5,3583.0,143.9,3.5,44.5,35.28,40.5,41.6,91.0,782.0,0.66,,165.0
163,3284.0,12.7,307.8,98.6,215.0,97.2,65.0,45.8,104.78,46.3,4165.0,156.8,4.8,44.5,35.28,40.5,41.6,94.4,782.0,0.66,,153.0
164,3284.0,14.29,293.6,98.5,197.0,98.4,66.9,49.8,104.63,50.5,5113.0,174.3,6.5,44.5,35.28,40.5,41.6,94.0,782.0,0.66,,147.0
165,3288.6,7.94,309.1,92.6,230.0,92.7,51.0,,104.4,28.1,1759.0,84.7,0.4,48.3747,33.21,,,89.9,779.6,0.668,,182.0
166,3288.6,11.11,293.9,93.1,215.0,93.3,60.0,,104.6,41.3,3454.0,123.0,1.6,48.3747,33.21,,,90.8,779.6,0.668,,145.0
167,3289.8,9.53,271.0,95.94595105865976,199.0,94.637,56.0,,103.9,36.16154737938216,2223.0,80.0,1.1,48.4,,39.9,,94.0,772.6,0.671,,139.0
